Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
SVH11_Q11_R.bin.1	42.24	12.07	37.5	True	634027	0	171	171	4394	4394	3707	3707	10211	10211	37.5	1.88	92.01	744	No	No	No	4	4
SVH11_Q11_R.bin.10	0.0	0.0	0.0	True	335119	0	39	39	11563	11563	8592	8592	62584	62584	37.7	1.46	84.75	413	No	No	No	8	5
SVH11_Q11_R.bin.11	13.79	0.0	0.0	True	761783	0	18	18	67724	67724	42321	42321	128928	128928	51.4	1.08	90.14	660	No	No	No	23	13
SVH11_Q11_R.bin.12	70.42	0.95	100.0	True	1208502	0	35	35	56596	56596	34528	34528	123122	123122	52.2	1.08	91.4	1107	No	No	No	26	11
SVH11_Q11_R.bin.13	32.2	1.72	100.0	True	592981	0	81	81	13258	13258	7320	7320	31789	31789	35.5	1.36	89.03	639	Yes	No	No	18	9
SVH11_Q11_R.bin.14	20.83	12.5	33.33	False	303531	0	77	77	4469	4469	3941	3941	18367	18367	41.0	1.49	93.0	323	No	No	Yes	0	0
SVH11_Q11_R.bin.15	0.0	0.0	0.0	True	201146	0	50	50	4152	4152	4022	4022	14862	14862	34.3	2.12	89.73	248	No	No	No	4	2
SVH11_Q11_R.bin.16	0.0	0.0	0.0	True	235353	0	8	8	66539	66539	29419	29419	91245	91245	40.9	1.9	92.78	259	No	No	No	0	0
SVH11_Q11_R.bin.17	8.33	0.0	0.0	True	314931	0	78	78	4157	4157	4037	4037	10797	10797	39.9	1.54	92.08	351	No	No	No	1	1
SVH11_Q11_R.bin.18	0.0	0.0	0.0	True	333856	0	8	8	181891	181891	41732	41732	181891	181891	38.1	1.54	84.52	406	No	No	No	8	6
SVH11_Q11_R.bin.19	78.82	3.01	16.67	False	499592	0	124	124	4867	4867	4028	4028	14945	14945	27.4	1.74	91.78	563	Yes	No	No	6	6
SVH11_Q11_R.bin.2	0.0	0.0	0.0	True	307702	0	9	9	67157	67157	34189	34189	75040	75040	37.8	0.48	86.26	331	No	No	No	10	6
SVH11_Q11_R.bin.20	0.0	0.0	0.0	True	242444	0	9	9	78825	78825	26938	26938	80112	80112	27.8	1.75	82.4	306	No	No	No	14	8
SVH11_Q11_R.bin.21	27.59	6.9	60.0	True	371952	0	46	46	10416	10416	8085	8085	59826	59826	46.2	1.29	89.61	369	No	No	No	6	5
SVH11_Q11_R.bin.22	0.0	0.0	0.0	True	558497	0	24	24	40374	40374	23270	23270	85135	85135	34.8	1.41	85.83	542	No	No	No	3	3
SVH11_Q11_R.bin.23	22.41	0.0	0.0	False	312438	0	89	89	3819	3819	3510	3510	9185	9185	40.7	1.75	91.75	367	No	No	No	3	2
SVH11_Q11_R.bin.24	2.31	4.17	30.77	True	596621	0	123	123	6419	6419	4850	4850	21266	21266	15.4	2.26	91.71	613	No	No	No	0	0
