Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
5MMH_5_R.bin.1	1.35	0.0	0.0	True	214710	0	27	27	10407	10407	7952	7952	16088	16088	45.0	1.23	21.1	123	No	Yes	No	11	11
5MMH_5_R.bin.10	66.98	3.96	0.0	True	913410	0	56	56	41214	41214	16310	16310	132769	132769	32.3	1.31	86.2	931	Yes	No	No	46	18
5MMH_5_R.bin.11	57.24	34.83	70.0	True	1590158	0	360	360	4994	4994	4417	4417	25202	25202	41.4	1.67	88.58	1863	No	No	No	29	14
5MMH_5_R.bin.12	0.0	0.0	0.0	True	270986	0	69	69	4562	4562	3927	3927	12376	12376	35.1	1.5	86.82	445	No	No	No	4	3
5MMH_5_R.bin.13	60.34	6.9	100.0	True	1966528	0	409	409	5638	5638	4808	4808	21353	21353	58.3	2.12	89.07	2033	No	No	No	42	20
5MMH_5_R.bin.14	62.4	101.72	74.15	True	2530930	0	451	451	6816	6816	5611	5611	29045	29045	42.5	1.89	89.24	2783	Yes	No	No	59	12
5MMH_5_R.bin.15	0.0	0.0	0.0	False	250518	0	68	68	4061	4061	3684	3684	16636	16636	46.1	1.22	99.32	70	No	No	No	0	0
5MMH_5_R.bin.16	85.07	5.71	94.44	True	1739097	0	284	284	7620	7620	6123	6123	32342	32342	44.6	1.76	85.33	1891	Yes	No	No	38	21
5MMH_5_R.bin.17	0.0	0.0	0.0	True	475094	0	160	160	3222	3222	2969	2969	9182	9182	30.6	2.31	77.36	535	No	No	No	1	1
5MMH_5_R.bin.18	60.34	8.62	0.0	True	629740	0	121	121	5923	5923	5204	5204	21022	21022	38.2	1.32	92.65	685	No	No	No	6	6
5MMH_5_R.bin.19	50.16	59.66	43.86	True	1366133	0	279	279	5633	5633	4896	4896	22884	22884	39.0	1.82	86.77	1635	No	No	No	38	17
5MMH_5_R.bin.2	58.62	1.72	0.0	True	929560	0	5	5	274035	274035	185912	185912	399953	399953	44.3	0.9	88.74	869	Yes	No	No	12	9
5MMH_5_R.bin.20	78.43	75.86	51.35	True	4434798	0	1288	1288	3734	3734	3443	3443	35042	35042	36.0	2.53	88.59	5003	Yes	No	No	29	9
5MMH_5_R.bin.21	0.0	0.0	0.0	True	350565	0	127	127	3058	3058	2760	2760	8774	8774	35.8	1.4	91.67	412	No	No	No	0	0
5MMH_5_R.bin.22	0.0	0.0	0.0	False	344156	0	114	114	3110	3110	3018	3018	16609	16609	35.2	1.93	86.91	465	No	No	No	2	2
5MMH_5_R.bin.23	0.0	0.0	0.0	True	229433	0	57	57	4146	4146	4025	4025	17398	17398	27.1	1.8	75.08	258	No	No	No	0	0
5MMH_5_R.bin.24	39.66	3.45	100.0	False	678320	0	212	212	3337	3337	3199	3199	22839	22839	38.3	1.41	92.22	699	No	No	No	7	6
5MMH_5_R.bin.25	53.45	56.9	70.18	True	2105330	0	611	611	3759	3759	3445	3445	30270	30270	39.7	2.24	89.02	2469	No	No	No	18	9
5MMH_5_R.bin.26	27.59	8.62	80.0	True	505610	0	104	104	5582	5582	4861	4861	14726	14726	45.4	1.58	90.69	582	No	No	No	10	5
5MMH_5_R.bin.27	4.31	1.72	0.0	True	674045	0	162	162	4968	4968	4160	4160	17579	17579	34.0	1.71	81.5	821	No	No	No	4	4
5MMH_5_R.bin.28	0.0	0.0	0.0	True	314773	0	6	6	165969	165969	52462	52462	165969	165969	39.2	0.98	86.86	339	No	No	No	1	0
5MMH_5_R.bin.29	55.89	2.02	71.43	False	859975	0	302	302	3047	3047	2847	2847	8995	8995	35.8	2.03	93.49	964	No	No	No	13	9
5MMH_5_R.bin.3	92.01	325.34	67.58	True	5086230	0	1028	1028	5964	5964	4947	4947	28206	28206	39.5	2.43	88.09	6139	Yes	No	No	101	20
5MMH_5_R.bin.30	25.86	3.45	100.0	True	395145	0	109	109	4025	4025	3625	3625	11833	11833	45.6	1.84	91.69	465	No	No	No	7	5
5MMH_5_R.bin.31	31.41	0.0	0.0	True	620661	0	5	5	229579	229579	124132	124132	277998	277998	44.9	0.7	87.81	573	No	No	No	20	10
5MMH_5_R.bin.32	0.0	0.0	0.0	True	221589	0	58	58	4643	4643	3820	3820	12640	12640	51.2	1.5	90.9	257	No	No	No	4	4
5MMH_5_R.bin.33	0.0	0.0	0.0	True	305139	0	72	72	4939	4939	4238	4238	23382	23382	34.3	1.57	88.39	483	No	No	No	3	3
5MMH_5_R.bin.34	45.93	33.33	88.46	True	2337661	0	625	625	4219	4219	3740	3740	24498	24498	38.7	1.97	90.92	2576	Yes	No	No	21	10
5MMH_5_R.bin.35	29.31	0.0	0.0	True	1425644	0	368	368	4401	4401	3874	3874	14958	14958	51.5	1.88	91.22	1527	No	No	No	15	11
5MMH_5_R.bin.36	26.18	6.9	80.0	True	354071	0	60	60	6595	6595	5901	5901	23891	23891	41.6	1.09	90.78	378	No	No	No	6	2
5MMH_5_R.bin.37	94.1	1.72	25.0	True	1328271	0	84	84	45969	45969	15812	15812	139841	139841	29.2	2.24	86.75	1328	Yes	Yes	Yes	37	19
5MMH_5_R.bin.38	0.0	0.0	0.0	False	257489	0	9	9	34351	34351	28609	28609	56777	56777	49.8	1.65	81.64	338	No	No	No	0	0
5MMH_5_R.bin.39	0.0	0.0	0.0	True	707183	0	3	3	650860	650860	235727	235727	650860	650860	35.5	1.39	87.71	684	No	No	No	8	8
5MMH_5_R.bin.4	4.17	4.17	100.0	True	285918	0	63	63	5349	5349	4538	4538	22259	22259	42.4	1.19	89.54	331	No	No	No	1	1
